Sr,Stroke No.,Date,Advance Time,Excavation per Stroke,Boring Energy,RPM,Torque,Thrust Force,Speed,Gripper Pressure,Total Revolution,Front Shield Pressure LHS,Front Shield Pressure rHS,Q-Value,Q-Value based,Penetration
120,4436,2016-09-18 00:00:00,28,1.218,35.8,4.1,3400,7250,42,208,115,32,34,3,2,10.4
121,4437,2016-09-18 00:00:00,35,1.533,38.2,4.1,3800,7732,44,209,144,32,34,3,2,10.7
122,4438,2016-09-18 00:00:00,31,1.352,36.2,4.1,3600,7757,44,208,127,31,38,3,2,10.6
123,4439,2016-09-18 00:00:00,28,1.215,31.2,3.8,3200,6267,42,208,106,32,40,3,2,11.2
124,4440,2016-09-18 00:00:00,39,1.511,37.8,4.3,3100,7699,38,218,168,29,49,3,2,8.9
125,4441,2016-09-18 00:00:00,35,1.523,33.4,4.3,3100,7197,43,217,151,30,43,3,2,10.1
126,4442,2016-09-19 00:00:00,27,1.22,26.3,4.3,2500,5998,44,217,116,32,34,3,2,10.2
1,4545,2016-10-01 00:00:00,34,1.51,35.3,4.4,3200,8043,43,245,150,29,46,3,2,9.8
2,4546,2016-10-01 00:00:00,35,1.54,35,4.2,3400,7913,44,244,147,31,44,3,2,10.3
3,4547,2016-10-01 00:00:00,33,1.54,30.3,4.3,3000,7661,46,244,142,46,43,3,2,10.6
4,4548,2016-10-01 00:00:00,31,1.4,24,4,2500,6368,45,245,124,43,35,3,2,11.1
5,4549,2016-10-01 00:00:00,30,1.51,21.6,4,2500,5936,50,245,120,44,35,3,2,12.5
6,4550,2016-10-01 00:00:00,31,1.53,28.6,4.1,3100,7433,48,245,127,34,48,3,2,11.8
7,4551,2016-10-01 00:00:00,32,1.52,29.9,4.5,2900,7109,47,243,144,33,36,3,2,10.4
8,4552,2016-10-01 00:00:00,26,1.13,27.1,4.6,2400,6685,44,245,120,36,37,3,2,9.5
9,4553,2016-10-01 00:00:00,25,1.25,24.9,4.1,2700,6316,48,246,103,38,37,3,2,11.8
10,4554,2016-10-01 00:00:00,11,0.6,18.6,4,2200,4808,51,245,44,35,49,3,2,12.5
11,4555,2016-10-02 00:00:00,20,1.03,11.4,4.3,1200,3299,49,244,86,35,39,3,4,11.6
12,4556,2016-10-02 00:00:00,19,0.94,12.3,4.2,1300,3591,48,248,80,32,32,3,4,11.4
13,4557,2016-10-02 00:00:00,26,1.16,16.3,3.5,1900,4600,44,245,91,34,31,3,3,12.4
14,4558,2016-10-02 00:00:00,18,0.87,25.6,3.9,2800,6868,46,244,70,32,34,3,2,11.7
15,4559,2016-10-02 00:00:00,15,0.67,24.8,3.8,2600,6506,43,245,57,32,39,3,2,11.4
16,4560,2016-10-02 00:00:00,33,1.53,14.3,3.8,1600,3879,46,245,125,38,33,3,3,12.2
17,4561,2016-10-02 00:00:00,32,1.54,10.2,3.7,1200,3131,47,244,118,33,31,3,4,12.6
18,4562,2016-10-03 00:00:00,32,1.54,8.6,3.8,1000,3333,48,244,122,34,30,3,5,12.6
19,4563,2016-10-03 00:00:00,29,1.53,15.7,3.9,1900,3718,51,208,113,31,31,3,3,13.1
20,4564,2016-10-03 00:00:00,35,1.73,26.8,4.2,2900,6158,49,206,147,31,32,3,2,11.8
21,4565,2016-10-03 00:00:00,32,1.51,18.7,3.8,2100,4914,46,207,122,31,47,3,2,12.3
22,4566,2016-10-03 00:00:00,33,1.54,27.5,4.1,2800,7193,45,236,135,29,56,3,2,11
23,4567,2016-10-03 00:00:00,26,1.25,32,4.5,3100,8241,47,244,117,36,68,3,2,10.5
24,4568,2016-10-03 00:00:00,28,1.21,29.2,4.3,2700,9077,43,245,120,60,79,4,2,9.9
25,4569,2016-10-03 00:00:00,30,1.26,13.7,4,1300,7036,41,246,120,78,70,4,3,10.1
26,4570,2016-10-04 00:00:00,33,1.35,9.3,3.8,900,4964,40,245,125,54,60,4,5,10.5
27,4571,2016-10-04 00:00:00,30,1.23,7.4,3.5,800,3608,41,244,105,45,69,4,5,11.7
28,4572,2016-10-05 00:00:00,26,1.21,9.8,3.4,1200,3707,45,187,88,79,60,4,4,13.2
29,4573,2016-10-05 00:00:00,28,1.25,8.6,3.8,900,3542,43,188,106,64,42,4,5,11.5
30,4574,2016-10-05 00:00:00,25,1.25,6.6,3.7,800,3715,49,189,93,78,45,4,5,13.2
31,4575,2016-10-05 00:00:00,25,1.25,5.9,3.7,700,3304,48,189,93,79,41,4,5,12.9
32,4576,2016-10-05 00:00:00,27,1.33,0.9,3.7,100,2898,48,189,100,74,47,4,5,12.9
33,4577,2016-10-05 00:00:00,30,1.27,11.4,3.7,1200,2729,42,190,111,64,55,4,4,11.3
34,4578,2016-10-05 00:00:00,27,1.22,8.2,3.7,900,2963,44,185,100,56,42,4,5,11.7
35,4579,2016-10-05 00:00:00,28,1.25,9.3,3.8,1000,3063,44,189,106,50,40,4,5,11.7
36,4580,2016-10-06 00:00:00,29,1.23,12.4,3.7,1300,4049,42,189,107,69,73,4,4,11.4
37,4581,2016-10-06 00:00:00,29,1.2,17.5,3.7,1800,5134,41,189,107,59,67,4,3,11
38,4582,2016-10-06 00:00:00,34,1.18,20.5,3.8,1700,4845,34,191,129,57,41,4,2,9
39,4583,2016-10-06 00:00:00,24,1.22,19.1,4.3,2100,5305,51,207,103,50,35,4,2,11.9
40,4584,2016-10-06 00:00:00,25,1.25,17.6,4.2,1900,5018,49,206,105,35,37,4,2,11.7
41,4585,2016-10-06 00:00:00,23,1.2,14.5,4.2,1600,4257,50,206,97,32,41,4,3,12
42,4586,2016-10-06 00:00:00,24,1.24,15.4,4.2,1700,4628,50,208,101,29,57,4,3,12
43,4587,2016-10-06 00:00:00,31,1.53,15.7,4.2,1700,4735,49,205,130,34,61,4,3,11.5
44,4588,2016-10-07 00:00:00,34,1.52,14,3.8,1500,4626,44,208,129,40,76,4,3,11.6
45,4589,2016-10-07 00:00:00,32,1.54,14.9,3.9,1700,4930,48,207,125,40,61,4,3,12.3
46,4590,2016-10-07 00:00:00,30,1.49,18.1,4.1,2000,5116,49,208,123,35,55,4,2,12
47,4591,2016-10-07 00:00:00,26,1.25,20.7,4.1,2200,5698,47,208,107,42,63,4,2,11.4
48,4592,2016-10-07 00:00:00,26,1.23,24.6,4.2,2500,6257,46,207,109,36,61,4,2,11.1
49,4593,2016-10-07 00:00:00,24,1.26,21.3,4.2,2400,5807,51,209,101,37,59,4,2,12.1
50,4594,2016-10-07 00:00:00,25,1.23,21.8,4.3,2300,6424,49,207,108,34,63,4,2,11.5
51,4595,2016-10-08 00:00:00,27,1.23,26.4,4.4,2500,7182,45,207,119,29,78,4,2,10.2
52,4596,2016-10-08 00:00:00,25,1.27,20.9,4.3,2200,7485,49,207,108,42,78,4,2,11.3
53,4597,2016-10-08 00:00:00,26,1.25,15.6,4,1700,5576,47,208,104,52,69,4,3,12
54,4598,2016-10-08 00:00:00,30,1.26,16.5,4,1600,5189,42,205,120,37,50,4,3,10.6
55,4599,2016-10-08 00:00:00,26,1.23,14.6,3.9,1600,4077,46,209,101,35,44,4,3,11.9
56,4600,2016-10-08 00:00:00,25,1.22,12,3.9,1400,3509,49,209,98,33,38,4,4,12.9
57,4601,2016-10-08 00:00:00,24,1.22,9.3,3.9,1100,2942,50,207,94,33,33,4,5,13
58,4602,2016-10-09 00:00:00,24,1.25,10.1,3.9,1200,3314,50,209,94,35,34,4,4,13
59,4603,2016-10-09 00:00:00,24,1.25,9.7,3.8,1200,3564,51,207,91,52,35,4,4,13.3
60,4604,2016-10-09 00:00:00,27,1.42,9.4,3.7,1200,2980,51,209,100,80,31,4,5,13.7
61,4605,2016-10-09 00:00:00,33,1.5,12.8,3.8,1400,3415,45,209,125,64,26,4,4,11.6
62,4606,2016-10-09 00:00:00,20,0.95,19.7,4,2100,4803,46,207,80,43,30,4,2,11.5
63,4607,2016-10-09 00:00:00,13,0.55,30.5,4.1,2900,6508,42,208,53,37,31,4,2,10.2
64,4608,2016-10-09 00:00:00,28,1.23,21.6,4,2200,5378,44,207,112,45,30,4,2,11
65,4609,2016-10-09 00:00:00,27,1.23,11.9,3.9,1300,4096,46,208,105,49,42,4,4,11.9
66,4610,2016-10-10 00:00:00,26,1.23,11.9,3.7,1400,3530,47,208,96,38,42,4,4,12.6
67,4611,2016-10-10 00:00:00,18,0.79,9.1,3.7,1000,2867,44,208,67,31,38,4,5,12
68,4612,2016-10-10 00:00:00,9,0.46,10.6,3.7,1300,3157,49,206,33,31,32,4,4,13.1
69,4613,2016-10-10 00:00:00,27,1.25,12.5,3.8,1400,3610,46,209,103,30,32,4,4,12.1
70,4614,2016-10-10 00:00:00,26,1.24,13.4,3.8,1500,3368,46,206,99,30,33,4,4,12.2
71,4615,2016-10-11 00:00:00,25,1.22,14,3.8,1600,3219,47,204,95,31,33,4,3,12.9
72,4616,2016-10-11 00:00:00,28,1.33,24,4.1,2500,5260,46,208,115,31,0,4,2,11.2
73,4617,2016-10-11 00:00:00,26,1.23,26.4,4.2,2800,6303,48,214,109,31,32,4,2,11.4
74,4618,2016-10-11 00:00:00,25,1.23,20.3,4.1,2200,4494,48,216,103,31,31,4,2,11.8
75,4619,2016-10-11 00:00:00,34,1.52,27.7,3.9,2900,5727,44,216,133,31,31,4,2,11.3
76,4620,2016-10-11 00:00:00,30,1.54,36.2,4.3,3900,7491,50,217,129,30,31,4,2,11.8
77,4621,2016-10-11 00:00:00,31,1.54,33.1,4.3,3500,7618,49,215,133,35,42,4,2,11.5
78,4622,2016-10-11 00:00:00,26,1.22,24.7,4.3,2500,6656,47,216,112,35,45,4,2,11.2
79,4623,2016-10-12 00:00:00,30,1.45,31.9,4.8,2900,7713,47,217,144,32,36,4,2,9.8
80,4624,2016-10-12 00:00:00,26,1.25,27,4.8,2500,6123,48,216,125,32,36,3,2,10
81,4625,2016-10-12 00:00:00,26,1.25,28.5,4.7,2700,7019,48,216,122,31,34,3,2,10.3
82,4626,2016-10-12 00:00:00,27,1.24,29.8,4.7,2700,7662,46,217,127,31,32,3,2,9.7
83,4627,2016-10-12 00:00:00,38,1.27,42.6,4.5,2900,8676,33,217,171,30,33,4,2,7.5
84,4628,2016-10-12 00:00:00,34,1.16,40.9,4.3,3000,9442,34,217,146,31,44,4,2,7.9
85,4629,2016-10-12 00:00:00,29,-0.12,27.7,4,2700,6715,42,218,116,35,68,4,2,10.6
86,4630,2016-10-12 00:00:00,33,1.28,31.4,4.2,2700,9138,39,216,139,32,39,4,2,9.2
87,4631,2016-10-12 00:00:00,26,1.25,23.1,4.2,2500,6718,49,217,109,32,36,4,2,11.6
88,4632,2016-10-12 00:00:00,10,0.47,15.8,3.9,1800,4231,48,215,39,36,38,4,3,12.3
89,4633,2016-10-13 00:00:00,25,1.23,18,3.9,2100,5360,49,216,98,34,38,4,2,12.4
90,4634,2016-10-13 00:00:00,18,0.8,25.2,4.2,2500,6490,45,216,76,32,33,4,2,10.9
91,4635,2016-10-13 00:00:00,27,1.25,27.9,4.4,2700,6583,46,217,119,33,32,4,2,10.4
92,4636,2016-10-13 00:00:00,30,1.24,31.9,4.5,2700,6578,41,216,135,34,31,4,2,9.1
93,4637,2016-10-13 00:00:00,32,1.59,23.1,4.2,2500,5523,49,217,134,34,32,4,2,11.7
94,4638,2016-10-13 00:00:00,30,1.4,24.2,4.3,2400,6078,46,217,129,32,28,4,2,10.7
95,4639,2016-10-13 00:00:00,6,0.22,6.3,3.8,600,3378,39,219,23,48,36,4,5,10.1
96,4640,2016-10-13 00:00:00,24,1.03,20.5,3.8,2200,4626,44,216,91,35,32,4,2,11.4
97,4641,2016-10-13 00:00:00,35,1.54,26.8,3.9,2800,5871,44,217,137,32,32,4,2,11.2
98,4642,2016-10-13 00:00:00,28,1.25,24.9,3.9,2600,5781,44,216,109,39,38,4,2,11.4
99,4643,2016-10-14 00:00:00,36,1.63,26.7,4.1,2600,6515,43,217,148,37,35,4,2,10.5
100,4644,2016-10-14 00:00:00,27,1.17,30,4.6,2600,7526,43,216,124,33,31,4,2,9.2
101,4645,2016-10-14 00:00:00,39,1.53,33.2,4.5,2600,7972,38,216,176,31,32,4,2,8.6
102,4646,2016-10-14 00:00:00,42,1.71,37.1,5.1,2700,8680,40,219,214,31,31,4,2,7.8
103,4647,2016-10-14 00:00:00,53,1.54,23.2,3.9,1600,6573,29,217,207,33,33,4,2,7.4
104,4648,2016-10-14 00:00:00,47,1.55,23.5,4,1800,5678,33,217,188,36,38,4,2,8.3
105,4649,2016-10-14 00:00:00,34,1.53,17.2,3.9,1800,4620,44,217,133,49,66,4,3,11.2
106,4650,2016-10-14 00:00:00,27,1.22,15.9,3.9,1700,4592,45,216,105,35,35,4,3,11.4
107,4651,2016-10-15 00:00:00,34,1.25,25.7,3.9,2200,7210,36,215,133,31,34,4,2,9.3
108,4652,2016-10-15 00:00:00,42,1.52,32.3,4,2700,7078,36,217,168,36,43,4,2,9
109,4653,2016-10-15 00:00:00,32,1.24,28.4,4,2500,6680,38,217,128,56,40,4,2,9.5
110,4654,2016-10-15 00:00:00,28,1.24,21,3.9,2200,5035,44,219,109,40,32,4,2,11.2
111,4655,2016-10-15 00:00:00,30,1.43,28.3,4.4,2800,6125,47,216,132,32,31,4,2,10.8
112,4656,2016-10-15 00:00:00,30,1.23,29.7,3.8,2900,6802,40,216,114,33,37,3,2,10.4
113,4657,2016-10-15 00:00:00,33,1.55,20.6,4.4,2000,5641,46,215,145,58,41,3,2,10.4
114,4658,2016-10-15 00:00:00,35,1.54,13.1,4,1300,3985,43,216,140,33,32,3,4,10.8
115,4659,2016-10-15 00:00:00,32,1.52,16.1,3.9,1800,4750,47,216,125,31,31,3,3,12.1
116,4660,2016-10-15 00:00:00,31,1.54,17.7,3.9,2100,4228,50,216,121,31,32,3,3,12.7
117,4661,2016-10-15 00:00:00,11,0.53,18.9,3.9,2200,4675,49,217,43,34,33,3,2,12.4
118,4662,2016-10-16 00:00:00,21,1,22.5,4,2400,5726,46,217,84,42,32,3,2,11.7
119,4663,2016-10-16 00:00:00,31,1.49,24.5,4.2,2700,5967,50,216,130,34,34,3,2,11.9
120,4664,2016-10-16 00:00:00,27,1.14,26.1,4,2600,5913,43,219,108,41,38,3,2,10.7
121,4665,2016-10-16 00:00:00,28,1.22,28.4,4.2,2700,5488,43,217,118,39,39,3,2,10.3
122,4666,2016-10-16 00:00:00,11,0.43,25.4,4.1,2300,5012,40,215,45,36,36,3,2,9.6
123,4667,2016-10-16 00:00:00,28,1.24,24.9,3.9,2600,5755,44,218,109,41,35,3,2,11.5
124,4668,2016-10-17 00:00:00,25,1.26,22.6,4.2,2500,5395,50,216,105,39,32,3,2,11.7
125,4669,2016-10-17 00:00:00,33,1.53,25.2,4.3,2500,5845,46,216,142,31,31,3,2,10.8
126,4670,2016-10-17 00:00:00,33,1.52,25.2,4.3,2500,5442,46,217,142,32,32,3,2,10.6
127,4671,2016-10-17 00:00:00,34,1.53,26.8,4.3,2600,5930,45,216,146,31,32,3,2,10.5
128,4672,2016-10-17 00:00:00,33,1.52,18.3,3.9,2000,4874,46,218,129,31,32,3,2,12
129,4673,2016-10-17 00:00:00,36,1.53,18.5,4,1800,5187,42,216,144,31,33,3,2,10.7
1,4784,2016-11-01 00:00:00,32,1.51,10.5,3.8,1200,3502,47,188,122,55,58,4,4,12.3
2,4785,2016-11-01 00:00:00,26,1.25,7.9,3.8,900,3235,47,188,99,48,44,4,5,12.3
3,4786,2016-11-01 00:00:00,31,1.53,8.3,4.2,900,3359,49,188,130,54,47,4,5,11.7
4,4787,2016-11-01 00:00:00,27,1.44,9.1,4,1100,3006,52,187,108,38,30,4,5,12.9
5,4788,2016-11-01 00:00:00,28,1.22,8,3.6,900,3007,44,186,101,66,50,4,5,12.2
6,4789,2016-11-01 00:00:00,26,1.23,9.3,3.6,1100,3223,46,188,94,57,50,4,5,12.7
7,4790,2016-11-01 00:00:00,26,1.24,9.3,3.6,1100,3356,46,188,94,58,57,4,5,12.9
8,4791,2016-11-01 00:00:00,27,1.26,10.2,3.6,1200,3789,46,188,97,77,71,4,4,12.7
9,4792,2016-11-01 00:00:00,27,1.24,9.5,3.6,1100,3593,45,187,97,56,44,4,4,12.4
10,4793,2016-11-01 00:00:00,26,1.23,10.2,3.7,1200,3703,47,189,96,58,48,4,4,12.8
11,4794,2016-11-02 00:00:00,34,1.58,10.7,3.8,1200,3902,46,188,129,56,46,4,4,12.2
12,4795,2016-11-02 00:00:00,21,0.92,9.6,3.9,1000,3547,44,187,82,64,54,4,4,11.1
13,4796,2016-11-02 00:00:00,32,1.47,12.8,3.9,1400,3666,46,189,125,55,55,4,4,11.7
14,4797,2016-11-02 00:00:00,30,1.44,10.8,3.9,1200,3679,47,189,117,45,63,4,4,12.1
15,4798,2016-11-02 00:00:00,26,1.22,10.7,3.5,1300,3479,46,191,91,46,64,4,4,12.9
16,4799,2016-11-02 00:00:00,27,1.26,8.5,3.6,1000,3762,46,191,97,48,60,4,5,12.8
17,4800,2016-11-02 00:00:00,26,1.23,8.7,3.7,1000,3713,46,189,96,54,67,4,5,12.4
18,4801,2016-11-02 00:00:00,26,1.24,8.7,3.7,1000,3548,46,189,96,44,49,4,5,12.4
19,4802,2016-11-03 00:00:00,23,1.09,12.2,3.7,1400,3479,46,190,85,44,46,4,4,12.5
20,4803,2016-11-03 00:00:00,27,1.21,10.9,3.7,1200,3168,44,683,100,45,50,4,4,11.7
21,4804,2016-11-04 00:00:00,30,1.44,9.6,3.8,1100,3550,47,190,114,43,41,4,4,12.3
22,4805,2016-11-04 00:00:00,25,1.22,9.4,3.7,1100,3691,47,189,93,53,57,4,5,12.9
23,4806,2016-11-04 00:00:00,25,1.19,6.8,3.7,800,3224,47,189,93,46,59,4,5,12.8
24,4807,2016-11-04 00:00:00,26,1.25,6.8,3.7,800,3167,47,189,96,48,51,4,5,12.6
25,4808,2016-11-04 00:00:00,26,1.24,8.5,3.6,1000,3104,46,191,94,52,48,4,5,12.7
26,4809,2016-11-04 00:00:00,33,1.53,10.4,3.7,1200,3441,46,189,122,54,52,4,4,12.4
27,4810,2016-11-04 00:00:00,33,1.53,11.6,3.8,1300,3264,46,187,125,41,39,4,4,12.1
28,4811,2016-11-05 00:00:00,34,1.53,10.9,3.7,1200,3417,44,190,126,64,42,4,4,11.8
29,4812,2016-11-05 00:00:00,37,1.55,13.6,3.7,1400,4321,41,189,137,66,46,3,4,11.1
30,4813,2016-11-05 00:00:00,16,0.64,10.5,4.1,900,5313,38,195,66,57,69,3,4,9.4
31,4814,2016-11-05 00:00:00,23,0.9,9.8,3.8,900,5652,38,209,87,50,79,3,4,9.9
32,4815,2016-11-05 00:00:00,28,1.23,8.6,3.8,900,3914,43,207,106,41,54,3,5,11.5
33,4816,2016-11-05 00:00:00,28,1.23,10.3,3.8,1100,3877,44,210,106,34,40,3,4,11.7
34,4817,2016-11-05 00:00:00,30,1.23,10.7,3.6,1100,4494,40,208,108,33,59,3,4,10.9
35,4818,2016-11-05 00:00:00,27,1.26,8.1,3.8,900,4037,46,209,103,33,77,3,5,12.1
36,4819,2016-11-05 00:00:00,26,1.23,9.8,3.8,1100,4190,46,208,99,43,74,4,4,12.1
37,4820,2016-11-05 00:00:00,26,1.23,8.3,3.9,900,4404,46,210,101,45,72,4,5,11.9
38,4821,2016-11-06 00:00:00,29,1.25,10.1,4,1000,4279,43,207,116,53,63,4,4,10.8
39,4822,2016-11-06 00:00:00,32,1.22,11.4,4,1000,3897,38,204,128,61,49,4,4,9.4
40,4823,2016-11-06 00:00:00,30,1.19,8.9,4,800,3448,39,209,120,66,58,4,5,9.8
41,4824,2016-11-06 00:00:00,33,1.24,7.6,3.7,700,4090,37,209,122,54,67,4,5,10.1
42,4825,2016-11-06 00:00:00,26,1.25,5.1,3.7,600,3359,47,206,96,60,34,4,5,12.6
43,4826,2016-11-06 00:00:00,22,1.22,9.6,4,1200,3128,54,206,88,77,39,4,4,13.2
44,4827,2016-11-07 00:00:00,23,1.23,12.4,4,1500,2867,52,209,92,61,30,4,4,13
45,4828,2016-11-07 00:00:00,27,1.44,10.2,4.1,1200,2839,52,207,111,81,29,4,4,12.7
46,4829,2016-11-07 00:00:00,28,1.22,10,3.6,1100,3471,43,206,101,78,65,4,4,12
47,4830,2016-11-07 00:00:00,26,1.26,10.5,3.9,1200,3705,48,207,101,52,56,4,4,12.4
48,4831,2016-11-07 00:00:00,29,1.25,12.1,4,1200,4203,43,210,116,54,49,4,4,10.8
49,4832,2016-11-07 00:00:00,28,1.24,10.8,3.9,1100,3881,43,208,109,45,48,4,4,11.2
50,4833,2016-11-08 00:00:00,29,1.24,11,3.9,1100,3951,42,208,113,56,38,4,4,10.9
51,4834,2016-11-08 00:00:00,35,1.54,8.8,3.9,900,3983,43,208,137,56,47,4,5,11.1
52,4835,2016-11-08 00:00:00,32,1.44,9.3,3.8,1000,4232,44,209,122,46,45,4,5,11.4
53,4836,2016-11-08 00:00:00,24,1.23,6.8,3.9,800,3670,50,205,94,35,41,4,5,12.8
54,4837,2016-11-08 00:00:00,26,1.24,6.3,3.8,700,3218,46,207,99,36,37,4,5,12.2
55,4838,2016-11-08 00:00:00,24,1.24,6.8,3.9,800,3629,50,209,94,45,55,4,5,12.9
56,4839,2016-11-08 00:00:00,27,1.23,9.1,3.8,1000,4081,45,206,103,76,69,4,5,11.9
57,4840,2016-11-08 00:00:00,27,1.24,9.4,3.9,1000,4470,45,205,105,71,70,4,5,11.5
58,4841,2016-11-08 00:00:00,27,1.24,6.8,3.9,700,5474,44,211,105,63,59,4,5,11.5
59,4842,2016-11-09 00:00:00,26,1.25,6,3.8,700,3935,48,208,99,56,63,4,5,12.7
60,4843,2016-11-09 00:00:00,25,1.23,5.7,3.7,700,3238,49,207,93,44,58,4,5,13
61,4844,2016-11-09 00:00:00,30,-0.05,10.2,3.7,1200,3073,47,206,111,36,31,4,4,12.5
62,4845,2016-11-09 00:00:00,28,1.23,9.9,3.5,1100,4120,42,207,98,69,46,4,4,12
63,4846,2016-11-09 00:00:00,29,1.25,12,3.9,1200,4708,42,209,113,63,47,4,4,10.9
64,4847,2016-11-09 00:00:00,27,1.25,9.8,3.8,1100,4295,46,208,103,34,52,4,4,12
65,4848,2016-11-10 00:00:00,28,1.24,15.3,3.9,1600,4792,44,208,109,31,54,4,3,11.3
66,4849,2016-11-10 00:00:00,35,1.21,17.1,3.6,1500,4587,34,210,126,50,59,4,3,9.3
67,4850,2016-11-10 00:00:00,30,1.24,13.8,3.5,1500,4083,41,208,105,48,45,4,3,11.5
68,4851,2016-11-10 00:00:00,30,1.24,12,3.5,1300,3753,41,208,105,36,49,4,4,11.7
69,4852,2016-11-10 00:00:00,28,1.21,11.5,3.8,1200,3844,43,209,106,39,53,4,4,11.3
70,4853,2016-11-11 00:00:00,28,1.25,9.4,3.8,1000,4452,44,207,106,50,54,4,4,11.3
71,4854,2016-11-11 00:00:00,25,1.25,11.1,4.2,1200,4747,49,208,105,40,66,4,4,11.6
72,4855,2016-11-11 00:00:00,26,1.25,11.1,3.8,1300,4032,48,208,99,32,90,4,4,12.4
73,4856,2016-11-11 00:00:00,29,1.44,10.9,3.8,1300,3604,49,208,110,31,67,4,4,13.1
74,4857,2016-11-11 00:00:00,24,1.22,7.2,3.7,900,3265,50,206,89,51,57,4,5,13.3
75,4858,2016-11-11 00:00:00,25,1.24,7.5,3.7,900,3522,48,206,93,57,48,4,5,12.9
76,4859,2016-11-11 00:00:00,25,1.24,6.7,3.7,800,4200,48,207,93,52,38,4,5,12.9
77,4860,2016-11-11 00:00:00,25,1.22,5,3.7,600,3861,48,209,93,62,52,4,5,12.8
78,4861,2016-11-11 00:00:00,25,1.23,5.6,3.6,700,3142,49,207,90,46,40,4,5,13.6
79,4862,2016-11-11 00:00:00,26,1.24,7.5,3.7,900,3421,48,206,96,48,38,4,5,13
80,4863,2016-11-11 00:00:00,24,1.24,7.4,3.8,900,3071,50,208,91,59,41,4,5,13.2
81,4864,2016-11-12 00:00:00,35,1.74,8.2,3.7,1000,3515,49,209,130,60,37,3,5,13.1
82,4865,2016-11-12 00:00:00,22,1.05,8.3,3.7,1000,3360,48,208,81,52,48,3,5,12.9
83,4866,2016-11-12 00:00:00,33,1.54,8.7,3.7,1000,3751,46,209,122,85,52,3,5,12.5
84,4867,2016-11-12 00:00:00,31,-0.09,10.2,3.6,1000,3899,38,210,112,85,40,3,4,10.6
85,4868,2016-11-12 00:00:00,26,1.23,7.2,3.8,800,4119,46,210,99,78,36,3,5,12
86,4869,2016-11-12 00:00:00,27,1.23,7.4,3.5,900,3572,46,210,95,57,49,3,5,12.9
87,4870,2016-11-12 00:00:00,26,1.23,9.4,3.4,1200,3264,47,208,88,50,45,3,5,13.9
88,4871,2016-11-12 00:00:00,27,1.23,10,3.4,1200,3081,44,210,92,46,54,3,4,12.9
89,4872,2016-11-13 00:00:00,28,1.26,9.7,3.6,1100,2869,44,207,101,35,54,3,4,12.4
90,4873,2016-11-13 00:00:00,30,1.54,6.6,3.8,800,2863,50,198,114,31,43,3,4,13.3
91,4874,2016-11-13 00:00:00,28,1.44,7.4,3.8,900,3001,50,197,106,38,55,3,5,13.1
92,4875,2016-11-13 00:00:00,30,1.43,5,3.6,600,3407,47,200,108,74,82,3,5,13.1
93,4876,2016-11-13 00:00:00,25,1.25,8.6,3.6,1100,3485,50,199,90,56,63,3,5,13.7
94,4877,2016-11-13 00:00:00,32,1.46,8.3,3.9,900,4458,46,197,125,71,79,3,5,11.6
95,4878,2016-11-13 00:00:00,26,1.23,10.1,3.9,1100,4039,46,197,101,41,65,4,4,11.8
96,4879,2016-11-14 00:00:00,28,1.23,8.1,3.8,900,4029,46,198,106,52,49,4,5,12.1
97,4880,2016-11-14 00:00:00,28,1.46,8.5,4.1,1000,3642,52,199,115,38,36,4,5,12.7
98,4881,2016-11-14 00:00:00,27,1.21,6.7,3.5,800,3738,45,199,95,60,44,4,5,12.7
99,4882,2016-11-14 00:00:00,25,1.19,9.6,3.7,1100,3670,46,199,93,60,45,4,4,12.4
100,4883,2016-11-14 00:00:00,27,1.27,6.6,3.5,800,3498,46,197,95,53,53,4,5,13.4
101,4884,2016-11-14 00:00:00,25,1.23,7.7,3.4,1000,3001,48,200,85,46,53,4,5,13.9
102,4885,2016-11-14 00:00:00,24,1.23,9.7,4,1100,2953,49,195,96,49,69,4,4,12.3
103,4886,2016-11-15 00:00:00,26,1.23,11.9,4,1300,3195,47,197,104,32,61,4,4,11.6
104,4887,2016-11-15 00:00:00,31,1.43,13.4,3.8,1500,3947,46,198,118,46,73,4,4,11.9
105,4888,2016-11-15 00:00:00,27,1.24,11.2,3.9,1200,3560,45,196,105,33,64,4,4,11.5
106,4889,2016-11-16 00:00:00,27,1.23,12.4,3.7,1400,3640,45,198,100,26,71,4,4,12.1
107,4890,2016-11-16 00:00:00,29,1.25,13,3.6,1400,3744,42,198,104,24,74,4,4,11.6
108,4891,2016-11-16 00:00:00,30,1.24,12,3.5,1300,3447,41,198,105,29,57,4,4,11.7
109,4892,2016-11-16 00:00:00,26,1.1,11.7,3.5,1300,3720,42,198,91,59,50,4,4,12.1
110,4893,2016-11-16 00:00:00,32,1.45,14,3.8,1500,4217,44,198,122,39,33,4,3,11.6
111,4894,2016-11-16 00:00:00,28,1.26,14.8,4.3,1400,5103,44,198,120,48,46,4,3,10.2
112,4895,2016-11-16 00:00:00,28,1.24,18.1,4.6,1600,5118,44,199,129,71,72,4,2,9.7
113,4896,2016-11-16 00:00:00,30,1.24,14.7,4,1400,4505,41,198,120,73,51,4,3,10.3
114,4897,2016-11-16 00:00:00,26,1.26,12.2,3.8,1400,3873,47,199,99,67,56,4,4,12.6
115,4898,2016-11-16 00:00:00,27,1.28,15.8,4.3,1600,4961,47,198,116,56,70,4,3,10.8
